Score-to-loss ratio,Results,IS Pass,OOS Pass,Miss Pass
1.086956522,1,0.441176471,0.352941177,0.205882353
0.76,0,0.45945946,0.297297297,0.243243243
0.88,0,0.607843137,0.352941177,0.039215686
1.074074074,1,0.723404255,0.234042553,0.042553191
0.466666667,0,0.416666667,0.458333333,0.125
1.315789474,1,0.575757576,0.363636364,0.060606061
1.25,1,0.55,0.325,0.125
1.470588235,1,0.548387097,0.387096774,0.064516129
1.041666667,1,0.25,0.5,0.25
0.96,0,0.5,0.5,0
1.041666667,1,0.5,0.5,0
0.96,0,0.4,0.6,0
1.086956522,1,0.5,0.5,0
0.92,0,1,0,0
1.086956522,1,0,1,0
0.92,0,0.5,0.5,0
1.041666667,1,0.5,0.5,0
0.96,0,0.6,0.3,0.1
