Score-to-loss ratio,Results,Ace Serve,In Serve,Miss Serve
1.086956522,1,0.038461538,0.769230769,0.192307692
0.76,0,0,0.8,0.2
0.88,0,0.090909091,0.772727273,0.136363636
1.074074074,1,0,0.75,0.25
0.466666667,0,0,0.875,0.125
1.315789474,1,0.2,0.72,0.08
1.25,1,0.041666667,0.791666667,0.166666667
1.470588235,1,0.083333333,0.833333333,0.083333333
1.041666667,1,0,1,0
0.96,0,0.25,0.75,0
1.041666667,1,0,1,0
0.96,0,0.2,0.4,0.4
1.086956522,1,0,0.818181818,0.181818182
0.92,0,0,0.666666667,0.333333333
1.086956522,1,0,1,0
0.92,0,0,1,0
1.041666667,1,0.076923077,0.769230769,0.153846154
0.96,0,0,0.766666667,0.266666667
