Score-to-loss ratio,Results,IS Pass,OOS Pass,Miss Pass,Kill Hit,In-Play,Miss Hit,Freeball,Ace Serve,In Serve,Miss Serve,True Block,False Block,Dig ,Dig Errors
1.086956522,1,0.4411764706,0.3529411765,0.2058823529,0.275862069,0.4137931034,0.1034482759,0.2068965517,0.03846153846,0.7692307692,0.1923076923,0.4,0.6,,
0.76,0,0.4594594595,0.2972972973,0.2432432432,0.347826087,0.1739130435,0.2608695652,0.2173913043,0,0.8,0.2,0.4285714286,0.5714285714,,
0.88,0,0.6078431373,0.3529411765,0.03921568627,0.1956521739,0.5217391304,0.152173913,0.1304347826,0.09090909091,0.7727272727,0.1363636364,0.1538461538,0.8461538462,,
1.074074074,1,0.7234042553,0.2340425532,0.04255319149,0.2045454545,0.4090909091,0.1818181818,0.2045454545,0,0.75,0.25,0.3913043478,0.6086956522,,
0.4666666667,0,0.4166666667,0.4583333333,0.125,0.1,0.45,0.15,0.3,0,0.875,0.125,0.3,0.7,,
1.315789474,1,0.5757575758,0.3636363636,0.06060606061,0.2222222222,0.5185185185,0.2592592593,0,0.2,0.72,0.08,0.4545454545,0.5454545455,,
1.25,1,0.55,0.325,0.125,0.4333333333,0.4666666667,0.06666666667,0.03333333333,0.04166666667,0.7916666667,0.1666666667,0.375,0.625,,
1.470588235,1,0.5483870968,0.3870967742,0.06451612903,0.2222222222,0.5185185185,0.07407407407,0.1851851852,0.08333333333,0.8333333333,0.08333333333,0.8571428571,0.1428571429,,
1.041666667,1,0.25,0.5,0.25,0.2727272727,0.4545454545,0.2727272727,0,0,1,0,1,0,0.8571428571,0.1428571429
0.96,0,0.5,0.5,0,0.1818181818,0.6054545455,0.2727272727,0,0.25,0.75,0,0.75,0.25,1,0
1.041666667,1,0.5,0.5,0,0.4,0.4666666667,0.1333333333,0,0,1,0,0.5,0.5,0.9,0.1
0.96,0,0.4,0.6,0,0.3076923077,0.8061538462,0.07692307692,0,0.2,0.4,0.4,1,0,0.6666666667,0.3333333333
1.086956522,1,0.5,0.5,0,0.2727272727,0.5909090909,0,0.1363636364,0,0.8181818182,0.1818181818,0.75,0.25,1,0
0.92,0,1,0,0,0.1851851852,0.5555555556,0.2592592593,0,0,0.6666666666,0.3333333333,0.5,0.5,0.7647058824,0.2352941176
1.086956522,1,0,1,0,0.2,0.6,0.2,0,0,1,0,1,0,0.8571428571,0.1428571429
0.92,0,0.5,0.5,0,0.1818181818,0.4545454545,0.1818181818,0.1818181818,0,1,0,1,0,1,0
1.041666667,1,0.5,0.5,0,0.3636363636,0.3181818182,0.2727272727,0.04545454545,0.07692307692,0.7692307693,0.1538461538,0.625,0.375,0.7777777778,0.2222222222
0.96,0,0.6,0.3,0.1,0.2608695652,0.4782608696,0.1739130435,0.08695652174,0,0.7666666666,0.2666666667,0.6666666667,0.3333333333,0.5833333333,0.4166666667
